               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.017909,            0.010793,                   0,             0.97659,             0.99069,             0.99096,             0.74534,           0.0070902,           0.0033731,                   0,               0.006,               0.006,               0.006
                  52,            0.018132,            0.011072,                   0,             0.97732,             0.98926,             0.99167,             0.74659,           0.0070416,           0.0035828,                   0,           0.0058744,           0.0058744,           0.0058744
                  53,             0.01957,            0.011091,                   0,             0.98008,             0.98926,             0.99106,             0.75447,           0.0070938,           0.0033303,                   0,           0.0057488,           0.0057488,           0.0057488
                  54,            0.017751,            0.010821,                   0,             0.97606,             0.99279,             0.99193,             0.76238,           0.0068861,           0.0032036,                   0,           0.0056236,           0.0056236,           0.0056236
                  55,             0.01935,             0.01077,                   0,             0.97372,             0.98352,             0.99226,             0.75763,           0.0071304,           0.0033802,                   0,           0.0054987,           0.0054987,           0.0054987
                  56,             0.01745,            0.010761,                   0,             0.98359,             0.98782,             0.99221,             0.77066,           0.0066503,           0.0032286,                   0,           0.0053743,           0.0053743,           0.0053743
                  57,            0.016744,            0.010516,                   0,              0.9802,             0.99281,             0.99331,             0.77523,           0.0066476,           0.0031826,                   0,           0.0052505,           0.0052505,           0.0052505
                  58,            0.018662,            0.010848,                   0,             0.97745,             0.99354,             0.99367,             0.77103,            0.006807,           0.0031078,                   0,           0.0051274,           0.0051274,           0.0051274
                  59,            0.018269,            0.010872,                   0,             0.98436,              0.9957,             0.99308,             0.76558,           0.0068459,           0.0031979,                   0,           0.0050052,           0.0050052,           0.0050052
                  60,            0.017151,            0.010355,                   0,             0.98368,              0.9928,             0.99361,             0.77188,           0.0068099,           0.0031195,                   0,            0.004884,            0.004884,            0.004884
                  61,            0.017396,            0.010951,                   0,             0.98146,             0.99355,             0.99382,             0.78014,           0.0064744,           0.0031934,                   0,           0.0047639,           0.0047639,           0.0047639
                  62,            0.016971,            0.010686,                   0,             0.98022,             0.99499,             0.99296,             0.78387,           0.0064322,           0.0030215,                   0,            0.004645,            0.004645,            0.004645
                  63,            0.016911,            0.010784,                   0,             0.97815,             0.99424,             0.99295,             0.77682,           0.0066333,           0.0030933,                   0,           0.0045275,           0.0045275,           0.0045275
                  64,             0.01618,            0.010548,                   0,             0.98367,             0.99284,             0.99426,             0.78709,           0.0063821,           0.0029876,                   0,           0.0044114,           0.0044114,           0.0044114
                  65,            0.016436,            0.010748,                   0,             0.98648,             0.99355,             0.99332,              0.7882,           0.0064543,           0.0029951,                   0,           0.0042969,           0.0042969,           0.0042969
                  66,            0.016743,            0.010476,                   0,             0.98291,             0.99355,             0.99425,             0.79075,           0.0063764,           0.0030452,                   0,            0.004184,            0.004184,            0.004184
                  67,            0.018227,            0.010128,                   0,             0.98507,             0.99284,             0.99491,             0.79221,           0.0064074,           0.0029617,                   0,            0.004073,            0.004073,            0.004073
                  68,            0.016397,            0.010072,                   0,             0.98154,             0.99355,             0.99457,             0.78857,           0.0064687,            0.003063,                   0,           0.0039638,           0.0039638,           0.0039638
                  69,            0.017222,            0.010192,                   0,             0.98789,             0.99499,             0.99366,             0.78109,           0.0064902,           0.0030404,                   0,           0.0038567,           0.0038567,           0.0038567
                  70,            0.016398,           0.0099581,                   0,             0.98649,              0.9957,             0.99445,             0.80168,           0.0062036,           0.0028919,                   0,           0.0037517,           0.0037517,           0.0037517
                  71,            0.016202,            0.010389,                   0,              0.9802,             0.99427,             0.99382,             0.80273,            0.006132,           0.0029395,                   0,           0.0036489,           0.0036489,           0.0036489
                  72,            0.017414,             0.01036,                   0,             0.97614,             0.99642,             0.99357,             0.77528,            0.006731,           0.0030756,                   0,           0.0035484,           0.0035484,           0.0035484
                  73,            0.016436,           0.0099502,                   0,             0.97882,             0.99499,             0.99384,             0.80105,           0.0062816,           0.0028793,                   0,           0.0034503,           0.0034503,           0.0034503
                  74,            0.016616,            0.010236,                   0,             0.98716,             0.99133,             0.99368,             0.79975,           0.0062634,           0.0029639,                   0,           0.0033548,           0.0033548,           0.0033548
                  75,            0.017611,            0.010315,                   0,             0.98303,             0.99569,             0.99371,             0.79224,           0.0063313,           0.0029464,                   0,           0.0032618,           0.0032618,           0.0032618
                  76,            0.016667,           0.0099361,                   0,             0.97963,             0.99928,             0.99468,             0.79742,           0.0061909,            0.002862,                   0,           0.0031716,           0.0031716,           0.0031716
                  77,            0.017557,            0.010056,                   0,             0.98304,             0.99713,             0.99542,             0.80445,           0.0060713,           0.0028556,                   0,           0.0030841,           0.0030841,           0.0030841
                  78,            0.016237,           0.0098315,                   0,             0.98514,             0.99709,              0.9947,             0.79258,           0.0061465,           0.0029436,                   0,           0.0029996,           0.0029996,           0.0029996
                  79,            0.015709,           0.0099804,                   0,             0.98507,             0.99857,             0.99518,             0.80473,           0.0061366,           0.0028638,                   0,           0.0029179,           0.0029179,           0.0029179
                  80,            0.015903,            0.010317,                   0,             0.98514,             0.99785,             0.99534,             0.80917,           0.0059817,           0.0028404,                   0,           0.0028394,           0.0028394,           0.0028394
                  81,            0.016382,           0.0099984,                   0,             0.98723,             0.99713,             0.99544,             0.80993,           0.0059669,           0.0027712,                   0,           0.0027639,           0.0027639,           0.0027639
                  82,            0.016265,           0.0095507,                   0,             0.98723,             0.99713,             0.99555,             0.80682,           0.0059982,           0.0027805,                   0,           0.0026917,           0.0026917,           0.0026917
                  83,            0.016967,            0.010127,                   0,             0.98649,             0.99713,             0.99462,             0.80994,           0.0060324,           0.0027654,                   0,           0.0026227,           0.0026227,           0.0026227
                  84,            0.015493,           0.0098594,                   0,             0.98931,             0.99857,             0.99559,             0.81606,           0.0059198,           0.0027587,                   0,            0.002557,            0.002557,            0.002557
                  85,            0.015478,           0.0096828,                   0,             0.99005,             0.99784,             0.99616,             0.81193,           0.0059487,           0.0027962,                   0,           0.0024948,           0.0024948,           0.0024948
                  86,            0.013792,           0.0097426,                   0,             0.98445,             0.99784,             0.99571,             0.80924,           0.0060162,           0.0028047,                   0,            0.002436,            0.002436,            0.002436
                  87,            0.016199,            0.010134,                   0,             0.98854,              0.9957,             0.99471,             0.82282,           0.0057762,           0.0027433,                   0,           0.0023807,           0.0023807,           0.0023807
                  88,            0.015849,           0.0096798,                   0,             0.98718,              0.9957,             0.99456,             0.81528,           0.0058181,           0.0027318,                   0,            0.002329,            0.002329,            0.002329
                  89,            0.015475,           0.0097856,                   0,             0.98515,             0.99782,             0.99493,             0.81116,           0.0060453,           0.0027651,                   0,           0.0022809,           0.0022809,           0.0022809
                  90,            0.014545,           0.0094657,                   0,             0.98932,             0.99568,             0.99492,             0.81777,           0.0058293,           0.0027456,                   0,           0.0022365,           0.0022365,           0.0022365
                  91,            0.016041,           0.0095648,                   0,             0.98795,             0.99856,             0.99533,             0.82281,           0.0057939,           0.0026153,                   0,           0.0021958,           0.0021958,           0.0021958
                  92,            0.016151,           0.0097089,                   0,             0.98862,             0.99713,             0.99602,             0.81901,            0.005854,           0.0026965,                   0,           0.0021588,           0.0021588,           0.0021588
                  93,            0.016474,           0.0097615,                   0,             0.98585,             0.99783,             0.99526,             0.82882,           0.0055771,           0.0025841,                   0,           0.0021257,           0.0021257,           0.0021257
                  94,            0.016076,           0.0096942,                   0,             0.98587,             0.99928,             0.99504,             0.82782,           0.0056501,           0.0026942,                   0,           0.0020963,           0.0020963,           0.0020963
                  95,            0.015517,           0.0094967,                   0,             0.98864,             0.99713,             0.99604,             0.83127,           0.0056591,           0.0026133,                   0,           0.0020709,           0.0020709,           0.0020709
                  96,            0.014306,            0.009565,                   0,              0.9858,             0.99642,              0.9956,             0.82065,           0.0057678,           0.0026242,                   0,           0.0020492,           0.0020492,           0.0020492
                  97,            0.014866,           0.0093671,                   0,             0.99075,             0.99782,             0.99652,             0.83456,           0.0054668,           0.0025843,                   0,           0.0020315,           0.0020315,           0.0020315
                  98,            0.015659,           0.0095858,                   0,             0.99006,             0.99928,             0.99558,             0.82327,           0.0057342,           0.0026564,                   0,           0.0020178,           0.0020178,           0.0020178
                  99,            0.016329,           0.0099121,                   0,             0.98862,             0.99857,             0.99495,              0.8232,           0.0056764,           0.0025969,                   0,           0.0020079,           0.0020079,           0.0020079
